Launch system,,Country of origin,Class and type,Payload capacity,,,Maiden flight,Manufacturer,Status,Ref
,LEO (Orbit),,,GTO,Other,,,,,
Al-Abid,,,Small lift expendable launch vehicle,100kg to 300kg (200km to 500km,,,1989,"Space Research Center, Baghdad",Abandoned,[99]
Augmented Satellite Launch Vehicle,,,Small lift expendable launch vehicle,150kg (400km),,,1987,ISRO,Retired,[100]
Epsilon,,,Medium lift expendable launch vehicle,1500kg (250kmx500km) 700kg (500km),,590kg to 500km (SSO),2013,JAXA,In service,[101]
Feng Bao 1,,,Medium lift expendable launch vehicle,2500kg,,,1972,Shanghai Bureau No.2,Retired,[102]
Geosynchronous Satellite Launch Vehicle,GSLV Mk I,,Medium lift expendable launch vehicle,5000kg,2150kg,,2001,ISRO,Retired,[103]
,GSLV Mk II,,,5000kg,2700kg,,2010,ISRO,In service,
Geosynchronous Satellite Launch Vehicle Mark III,,,Medium lift expendable launch vehicle,10000kg,4000kg,,2014 (Suborbital) 2017 (Orbital),ISRO,In service,[104]
GX,,,Medium lift expendable launch vehicle,3600kg,,1814kg to 800km SSO,,JAXA/ULA/IHI,Cancelled,[105]
H-I,,,Medium lift expendable launch vehicle,3200kg,1100kg,,1986,Mitsubishi Heavy Industries/McDonnell Douglas,Retired,[106]
H-II,H-II,,Medium lift expendable launch vehicle,10060kg,3930kg,,1994,Mitsubishi Heavy Industries,Retired,[107]
,H-IIA,,,10000kg to 15000kg,4100kg to 6000kg,,2001,Mitsubishi Heavy Industries/ATK,In service,[108]
,H-IIB,,,16500kg,8000kg,,2009,Mitsubishi Heavy Industries,In service,[109]
H3,,,Medium lift expendable launch vehicle,,>8000kg,>4000kg to SSO (Minimum configuration),2020 (Planned),Mitsubishi Heavy Industries,Under development,[110]
J-I,,,Experimental expendable launch vehicle,-,-,1054kg along 1300km downrange.,1996,NASDA/ISAS,Retired,[111]
Jielong-1,,,Small lift expendable launch vehicle,,,150kg to 700km (SSO),2019,CALT,In service,[112]
Kaituozhe,Kaituozhe-1,,Small lift expendable launch vehicle,100kg,Not applicable,,2002,CASC,Retired,[113]
