<<<<<<< HEAD
Model,Launch,Code name,Fab (nm)[2],Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,,,,Memory,,,,Supported API version,
,,,,,,,,MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL
GeForce4 MX IGP + nForce2,"October 1, 2002",NV1F,TSMC 150 nm,FSB,250,133 200date=September 2012,2:0:4:2,500,500,1000,0,Up to 128 system RAM,2.128 6.4date=September 2012,DDR,64 128,7.0,1.2
GeForce4 MX420,"February 6, 2002",NV17,,AGP 4× PCI,,166,,,,,,64,2.656,SDR,128,,
GeForce4 MX440 SE,2002,,,,,,,,,,,64 128,5.312,DDR,,,
GeForce MX4000,"December 14, 2003",NV18B,,AGP 8× PCI,,,,,,,,,2.656,,64,,
GeForce PCX4300,"February 19, 2004",,,PCIe ×16,,333,,,,,,128,5.328,,,,
GeForce4 MX440,"February 6, 2002",NV17,,AGP 4× PCI,275,200,,550,550,1100,,64 128,6.4,,128,,
GeForce4 MX440 8x,"September 25, 2002",NV18,,AGP 8× PCI,,250,,,,,,,8,,,,
GeForce4 MX460,"February 6, 2002",NV17,,AGP 4× PCI,300,275,,600,600,1200,,,,,,,
GeForce4 Ti4200,"April 16, 2002",NV25,,AGP 4×,250,222 (128 MB) 250 (64 MB),4:2:8:4,1000,1000,2000,125,,7.104 (128 MB) 8 (64 MB),,,8.0a,1.3
GeForce4 Ti4200 8x,"September 25, 2002",NV28,,AGP 8×,,250,,,,,,128,8,,,,
GeForce4 Ti4400,"February 6, 2002",NV25,,AGP 4×,275,275,,1100,1100,2200,137.5,,8.8,,,,
GeForce4 Ti4400 8x (Ti4800SE2),"January 20, 2003",NV28,,AGP 8×,,,,,,,,,,,,,
GeForce4 Ti4600,"February 6, 2002",NV25,,AGP 4×,300,325,,1200,1200,2400,150,,10.4,,,,
GeForce4 Ti4600 8x (Ti48003),"January 20, 2003",NV28,,AGP 8×,,,,,,,,,,,,,
Model,Launch,Code name,Fab (nm)[2],Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,,,,Memory,,,,Supported API version,
,,,,,,,,MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL
=======
Model,Code name,Fab (nm),Bus interface,Core clock (MHz),Shader clock (MHz),Memory clock (MHz),Core config1,Fillrate,,Memory,,,,Processing power (GFLOPS)[198][199],,Supported API version,,,TBP (Watts),Notes
,,,,,,,,Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Single precision,Double precision,Direct3D,OpenGL,CUDA,,
Quadro 410,GK107,28,PCIe 2.0 ×16,706,706,1800,192:16:8 (1 SMX),5.65,11.3,512,14.4,DDR3[202],64,271.10,,11.0,4.6,3.0,38,
Quadro K600,,,,876,876,891 (1782),192:16:16 (1 SMX),14.0,14.0,1024,28.5,DDR3,128,336.38,,,,,41,6.3" Card
Quadro K2000,,,,954,954,1000 (4000),384:32:16 (2 SMX),15.2,30.5,2048,64,GDDR5,,732.67,,,,,51,7.97" Card
Quadro K2000D,,,,,,,384:32:16 (2 SMX),,,2048,,,,,,,,,,
Quadro K4000,GK106,,,810.5,810.5,1404 (5616),768:64:24 (4 SMX),19.4,51.9,3072,134.8,,192,1244.93,,,,,80,9.5" Card
Quadro K5000,GK104,,,706,706,1350 (5400),1536:128:32 (8 SMX),22.6,90.4,4096,172.8,,256,2168.83,90.4,,,,122,10.5" Card
Quadro K6000,GK110,,,901.5,901.5,1502 (6008),2880:240:48 (15 SMX),54.1,216,12288,288,,384,5196,1732,,,3.5,225,
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
