Rank,Country,Population,% of world,Date,Source (official or UN)
1,Demographics ofCHN,<section begin=CHN/>poptoday 1<section end=CHN/>,National population clock[93],,
2,Demographics ofIND,<section begin=IND/>poptoday 1<section end=IND/>,National population clock[94],,
3,Demographics ofUSA,<section begin=USA/>poptoday 1<section end=USA/>,National population clock[95],,
4,Demographics ofIDN,<section begin=IDN/>269603400sigfig=3disp=tablenonscinote=y,1 July 2020format=dmyabbr=on<section end=IDN/>,National annual projection[96],
5,Demographics ofPAK,<section begin=PAK/>220892331sigfig=3disp=tablenonscinote=y,1 July 2020format=dmyabbr=on<section end=PAK/>,UN Projection[97],
6,Demographics ofBRA,<section begin=BRA/>poptoday 1<section end=BRA/>,National population clock[98],,
7,Demographics ofNGA,<section begin=NGA/>206139587sigfig=3disp=tablenonscinote=y,1 July 2020format=dmyabbr=on<section end=NGA/>,UN Projection[97],
8,Demographics ofBGD,<section begin=BGD/>poptoday 1<section end=BGD/>,National population clock[99],,
9,Demographics ofRUS,<section begin=RUS/>146748590sigfig=3disp=tablenonscinote=y,1 January 2020format=dmyabbr=on<section end=RUS/>,National annual estimate[100],
10,Demographics ofMEX,<section begin=MEX/>127792286sigfig=3disp=tablenonscinote=y,1 July 2020format=dmyabbr=on<section end=MEX/>,National annual projection[101],
