<<<<<<< HEAD
Model,Code name,Fab (nm),Bus interface,Core clock (MHz),Shader clock (MHz),Memory clock (MHz),Core config12,Fillrate,,Memory,,,,Processing power (GFLOPS),Supported API version,,TBP (Watts),Notes
,,,,,,,,Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Single precision,Direct3D,OpenGL,,
Quadro2 Go[215],NV11GLM?,,AGP 4×,143,,130 360,2:0:4:2,0.286,0.592,32 64,2.9 5.8,SDR DDR,128,,7.0,1.2,,"First mobile Quadro based on the GeForce2 Go, Dynamic core clock 100–143 MHz, dynamic voltage 1.575V, graphics core listed as 64-bit and 128-bit for DDR and SDR SDRAM types respectively according to Nvidia[216][217]"
Quadro4 500 Go GL[218][219],NV17 GLM,150,"AGP 4×,8×",?,,?,2:0:4:2,0.44,0.88,64,7.0,DDR,,,7.0,1.3,,"Based on the GeForce4 Go, dynamic core clock 66–220 MHz, core voltage 1.35 V, uses DDR SDRAM according to Nvidia brochures[217]"
Quadro4 700 Go GL[218][220][221],NV28 GLM,150,,176,,200,4:2:4:4,0.704,0.704,,7.4?,,128?,,8.1,,,"Based on GeForce4 Go 4200, uses DDR according to Nvidia brochures"
Quadro FX Go 700[222],NV31 GLM,130,AGP 8×,295?,,590?,4:3:4:4,1.18,1.18,128,9.44?,,128,,9.0,2.1?,,Based on the Geforce FX Go (FX 56XX)
Quadro FX Go 1000[223],NV36 GLM,120,,,,570?,,,,,9.12?,,,,,,,Seems to be an overclocked Quadro FX 700 Go.
Quadro FX Go 1400[223],NV41 GLM,130,PCIe,275,,590,12:5:12:12?,2.20,2.2,256,18.9?,,256,,,,,"Last chip designated as a Quadro FX Go, uses PCIe instead of AGP 8×. Core config has been mentioned as either 8:5:8:8 or 12:5:12:12 - the latter is likely since chip is derived from GeForce Go 6800."
=======
Model,Launch,Code name,Fab (nm),Bus interface,Core config1,Clock speed,,,Fillrate,,Memory,,,,Supported API version,,Processing power (GFLOPS),TBP (Watts),Notes
,,,,,,Core (MHz),Shader (MHz),Memory (MHz),Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL,,,
GeForce G 102M,"January 8, 2009",MCP79XT,65,Integrated (PCIe 1.0 ×16),16:8:4,450?,1000,800 (system memory),1.8,3.6,Up to 512 from system memory,6.4,DDR2,64,10.0,3.3,48,14,"PureVideo HD, CUDA, Hybrid SLI, based on GeForce 9400M G"
GeForce G 103M,"January 1, 2009",N10M-GE2(G98),,PCIe 2.0 ×16,8:8:4,640,1600,1000,2.56,5.12,512,8,,,,,38,,"PureVideo HD, CUDA, Hybrid SLI, comparable to the GeForce 9300M GS"
GeForce G 105M,"January 8, 2009",N10M-GE1(G98),,,,,,1000 1400,,,,8 11,GDDR2 GDDR3,,,,38,,
GeForce G 110M,,N10M-GE1(G96b),55,,16:8:4,400,1000,1000 1400,1.6,3.2,1024,8 11,DDR2 GDDR3,,,,48,,"PureVideo HD, CUDA, Hybrid SLI"
GeForce GT 120M,"February 11, 2009",N10P-GV1(G96b),,,32:16:8,500,1250,1000,4,8,,16,DDR2,128,,,110,23,"PureVideo HD, CUDA, Hybrid SLI, Comparable to the 9500M GT and 9600M GT DDR2 (500/1250/400)"
GeForce GT 130M,"January 8, 2009",N10P-GE1(G96b),,,,600,1500,1000 1600,4.8,9.6,,16 25.6,DDR2 GDDR3,,,,144,,"PureVideo HD, CUDA, Hybrid SLI, comparable to the 9650M GT"
GeForce GTS 150M,"March 3, 2009",N10E-GE1(G94b),,,64:32:16,400,1000,1600,6.4,12.8,,51.2,GDDR3,256,,,192,,"PureVideo HD, CUDA, Hybrid SLI"
GeForce GTS 160M,,N10E-GS1(G94b),,,,600,1500,,9.6,19.2,,,,,,,288,60,
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
