Feature,Android,iOS,Tizen,Sailfish OS,Ubuntu Touch
<<<<<<< HEAD
Unified Inbox,",,,,?
Email sync protocols supported,"POP3, IMAP, MAPI","POP3, IMAP, MAPI, ActiveSync[178]","POP3, IMAP","POP3, IMAP, ActiveSync",?
Non-carrier-based integrated messaging,Google Hangouts,5+ (iMessage)[179],?,,
Visual voicemail,2.1+[180],,?,?,?
Call log duration,,,?,,
Multiple mobile phones per contact,,,?,,
Contact groups,4+[183] or 3rd party software[184],Via iCloud or 3rd party software[185],,,?
Voice over IP,Yes (SIP)[187] or 3rd party software[188],FaceTime; 3rd party software[189],,,
NFC payment software,Available on any device that supports the hardware. Android Pay for NFC payments available in Play Store.[191],"8+: iPhone 6/6 Plus and later (iPhone 5 and later if used with Apple Watch), via Apple Pay", Samsung Pay,,
Tethering,"Mobile Wi-Fi Hotspot, USB, Bluetooth","4.3+: Personal Hotspot (Wi-Fi, Bluetooth, USB; carrier dependent)","microUSB, Bluetooth 3.0, Mobile Wi-Fi Hotspot","Mobile Wi-Fi Hotspot, USB, Bluetooth",Mobile Wi-Fi Hotspot
USB On-The-Go,3.1+[192][193],13+;[194] 9+: Only for connecting cameras,,,
Direct file transfer over Wi-Fi Direct,4+[52] and selected devices[195][196],",",,
DHCP v4,Yes,Yes,?,?,?
DHCP v6,No,Yes,?,?,?
Direct file transfer over Bluetooth,2+[199],AirDrop: 7+: Between iOS only; 8+: Between Mac/iOS only. (Note: AirDrop utilizes Wi-Fi as well),",",
Direct file transfer over NFC,"No, removed on Android 10",,2+[197],,
=======
Audio playback,"AAC LC/LTP 3GPP, HE-AACv1 (AAC+), HE-AACv2 (enhanced AAC+) AMR-NB, AMR-WB, MP3, MIDI (Type 0 and 1, DLS versions 1 and 2), Ogg Vorbis, PCM/WAVE, FLAC, WAVE, Opus[238]","AAC, protected AAC (from iTunes Store), HE-AAC, MP3, MP3 VBR, Audible (formats 2, 3, 4, Audible Enhanced Audio, AAX, and AAX+), Apple Lossless, AIFF, WAV[239]","AAC, AAC+, eAAC+, AMR-NB, AMR-WB, MP3, Vorbis, WAV[240]","MP3, FLAC, AAC, eAAC, eAAC+, ALAC, AC3, DTS, Opus, Vorbis",?
Video playback,"H.263, H.264 (up to Baseline Profile), H.265 HEVC, MPEG-4 SP, DivX, XviD, VP8, VP9[238] (WMV on 3rd party software like VLC media player)","H.264 (up to High Profile), MPEG-4, M-JPEG[239]","H.263, H.264, MPEG-4 Part 2[240]","MPEG-4, H264, H263,[241] although audio in recorded videos is out of sync[242]",?
Wired video out,4K on 6+[243],"Up to 1080p via HDMI[244] or VGA,[245] 576p/480p via component[246] or composite;[247]",,,
Wired digital audio output,5+ USB Audio[249],7+: USB Audio[250],,,
Wireless video/audio streaming to set top boxes/TVs/speakers,"4.2+ Miracast,[251] but DLNA[252] only available on selected devices",AirPlay[253],DLNA[254],?,
Media player on-device playlist creation,,,?,,
Media player video scrubbing,,,?,?,?
Media player audio scrubbing,,,?,?,?
Media player fine scrubbing,",,?,?,?
Media player double speed playing,6+[259],Only Podcasts[260],?,?,?
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
