English,Malaysian,Indonesian
<<<<<<< HEAD
dandruff,zsmkelemumur,idketombe
December,zsmDisember,idDesember (influenced by Dutch nldecember)
decimal,zsmperpuluhan (means tithe in Indonesian),"iddesimal (from Dutch nldecimale), idpersepuluhan (rare)"
decree,zsmdekri,"idsurat keputusan, iddekrit (from Dutch nldecreet)"
degree (of temperature),zsmdarjah,idderajat
"delicious, tasty","zsmlazat, zsmsedap, zsmenak","idlezat, idenak, idsedap"
democratic,zsmdemokratik,"iddemokratis (from Dutch nldemokratisch note: "democratic republic" (in country names) translates as idrepublik demokratik, such as in idRepublik Demokratik Kongo (Democratic Republic of the Congo))"
department,zsmjabatan ('occupation' in Indonesian),"iddepartemen, idjurusan (for department in university)"
departure,zsmpelepasan,"idkeberangkatan, idkepergian"
depression (psychological),zsmkemurungan (means "sadness" in Indonesian),iddepresi (from Dutch nldepressie)
deputy,zsmtimbalan,"idwakil, iddeputi, idtimbalan (rare)"
design,zsmreka bentuk,"iddesain, idkerangka bentuk, idrancangan"
detail,zsmterperinci,"iddetail, detil (nonstandard), idperincian, idrinci (nonstandard)"
dialect,zsmloghat,"iddialek, idlogat"
detection,zsmpengesana,"idpelacakan, iddeteksi"
different – difference,"zsmbeza, zsmberbeza – perbezaan","idbeda, idberbeda – perbedaan"
diocese,"zsmkawasan uskup, zsmkeuskupan",idkeuskupan
director,zsmpengarah,"iddirektur from Dutch (and French) nldirecteur, idsutradara (of a film) from Sanskrit (through Javanese), idpengarah (for an event)"
discount,"zsmdiskaun, zsmrebat, zsmpotongan harga","iddiskon, idrabat, idpotongan harga, idkorting from Dutch, less frequent"
discussion,"zsmperbincangan, zsmdiskusi","idpembicaraan, idperbincangan, iddiskusi (from Dutch nldiscussie)"
disinfectant,zsmpenyahjangkit,"iddisinfektan, idsucihama"
domestic,zsmdalam negara,"iddalam negeri, iddomestik"
driver,zsmpemandu means guide in Indonesian,"idsopir from French frchauffeur through Dutch, idpengemudi formal"
driver's license (U.S.) driving licence (UK),zsmlesen memandu,idsurat izin mengemudi (SIM)
drugs (illegal),zsmdadah (colloquial use in Indonesia means "goodbye"),"idnarkoba (an acronym for idNARKotika dan OBat-obatan terlArang (narcotics and illegal drugs)), idNAPZA (less frequent – an acronym for idNArkotika, Psikotropika dan Zat-zat Adiktif (narcotics, psychotropics, and addictive chemical substances))"
Dutch East Indies,zsmHindia Timur Belanda,idHindia-Belanda
duty (economics),"zsmduti, zsmcukai","idbea, idcukai"
=======
vagina,"zsmfaraj (from Arabic, in Indonesian means "vulva"), zsmpepek/pepet (slang)","idalat kelamin wanita, liang peranakan, vagina, farji, memek (slang, vulgar), idpepek (slang, vulgar)"
variable (mathematics),zsmpemboleh ubah,"idvariabel, idpeubah"
Vatican City,zsmVatican City,id(Kota) Vatikan
Venice,zsmVenice,idVenesia (influenced by Dutch nlVenetië)
verb,zsmkata kerja,"idkata kerja (influenced by Dutch nlwerkwoord, idverba"
verification,zsmpengesahan (means "validation" in Indonesian),idverifikasi
very,"zsmsangat, amat, sekali","idsangat, amat, sekali, banget (from Javanese jvngoko)"
vice (deputy),zsmnaib,"idwakil, idnaib (less common)"
victim,zsmmangsa in Indonesian means "prey",idkorban
Vienna,zsmVienna,idWina (influenced by Dutch nlWenen)
violet (colour),zsmlembayung,"idviolet, idungu, idlembayung (rarely used)"
virgin,"zsm(anak) dara, (anak) gadis, perawan","idperawan (formal), idgadis, id(anak) dara"
viscosity,zsmkelikatan,"idviskositas, idkekentalan"
visit,"zsmlawatan, pelancongan","idwisata, idkunjungan, idpelancongan, idlawatan (to foreign country, an excursion), idbesuk (from Dutch nlbezoeken) (to someone sick)"
volleyball,zsmbola tampar,idbola voli
volume (math),zsmisi padu,"idvolume, idruang, idisi"
voucher,zsmbaucer,idvoucer
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
