<<<<<<< HEAD
English,Standard Malay (Malaysian),Indonesian
backpack,zsmbeg sandang (,"idransel (from Dutch), idtas punggung"
backstage (of a theater or studio),zsmbelakang tabir,"idbelakang layar (idbelakang panggung"
bag,zsmbeg,idtas (from Dutch)
baseband,zsmjalur asas,idpita dasar
basin (wash basin/sink),zsmbesen,"idwastafel (from Dutch, 
basket (ball),zsmkeranjang,idbola basket
basket (general),zsmbakul,idkeranjang
because,"zsmkerana, zsmsebab","idkarena, idsebab"
bed,zsmkatil,"idmatras influenced by Dutch nlmatras, idtempat tidur, idranjang, idkasur"
Belgium,zsmBelgium,idBelgia influenced by Dutch nlBelgië
Belgrade,zsmBelgrade,idBeograd influenced by Serbian sr???????
belt (of a seat),zsmtali keledar,"idsabuk, idikat pinggang"
bicycle,zsmbasikal,idsepeda (influenced by French frvelocipede)
bill (legislation),zsmrang undang-undang,"idrancangan undang-undang, idlegislasi"
billboard,zsmpapan iklan,"idbaliho (supposedly from English ballyhoo (in English it means extravagant publicity or fuss)) idpapan iklan, idpapan reklame from Dutch nlreclame (advertisement)"
billion,"zsmseribu juta, bilion","idmiliar (from Dutch nlmiljard), idmilyar (informal but frequently used)"
binary,zsmperduaan,idbiner (from Dutch nlbinaire)
bishop,"zsmbiskop, zsmbisyop",iduskup
board (company),zsmlembaga 'agency' in Indonesian,iddewan
border,zsmsempadan,idperbatasan
"bonnet, hood (of a car)","zsmbonet, zsmbumbung, zsmhud",idkap from Dutch
"boot, trunk (of a car)",zsmbut,idbagasi
Britain,zsmBritain,Britania (from Latin: laBritannia)
Brussels,zsmBrussels,idBrussel (influenced by Dutch)
Bucharest,zsmBucharest,idBukarest
bucket; pail,zsmbaldi,idember from Dutch nlemmer
bus,zsmbas,"idbus, idbis nonstandard, influenced by Dutch pronunciation"
bus station,zsmstesen bas,idterminal bus ( frequently pronounced as terminal idbis as it is derived from Dutch pronunciation of bus )
bus stop,zsmperhentian bas,"1. idpemberhentian bus, 2. idhalte bus from Dutch nlbushalte"
business,"zsmperniagaan, zsmbisnes","idperniagaan (less commonly used), idbisnis"
=======
English,Malaysian,Indonesian
want,zsmmahu,"idmau, idingin"
warden,"zsmwarden, zsmpenjaga penjara",idsipir (penjara) (from Dutch nlcipier)
Warsaw,zsmWarsaw,idWarsawa
website,"zsmlaman web, zsmlaman sesawang","idsitus web, idlaman web"
weekend,zsmhujung minggu,"idakhir pekan, idakhir minggu"
well (water hole),zsmperigi,"idsumur, idperigi (rarely used)"
wheelchair,zsmkerusi roda,kursi roda
when,"zsmbila, zsmapabila, zsmketika, zsmbilamana (rarely used)","idkapan, bilamana, (question word) idbila, ketika"
window,"zsmtingkap, zsmjendela","idjendela (from Portuguese ptjanela), idtingkap (less common)"
"windscreen, windshield",zsmcermin kereta,idkaca depan (mobil)
wire,"zsmdawai, zsmwayar","idkawat (e.g. copper wire), idkabel (e.g. electrical wire, cable)"
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
