English,Malaysian,Indonesian
<<<<<<< HEAD
I,"zsmsaya, zsmaku, zsmdaku","idsaya, idaku, iddaku"
ice,zsmais,ides
Iceland,zsmIceland,idIslandia
image,"zsmcitra, zsmimej (of reputation), zsmgambar (pictorial image)","idcitra (of reputation), idgambar (pictorial image)"
imagination,"zsmimaginasi, bayangan","idimajinasi, idkhayalan"
immigration,"zsmimigresen, imigrasi",idimigrasi from Dutch nlimmigratie
import,zsmimport,idimpor
impotence,"zsmmati pucuk, zsmimpotensi, zsmlemah syahwat","idimpotensi from Dutch nlimpotentie, idlemah syahwat colloquial"
impotent,zsmkemandulan,"idimpotensi, idkemandulan"
incineration,zsmpenunuan,idinsinerasi
Indian Ocean,zsmLautan Hindi,idSamudra Hindia
inductor,"zsmperaruh, zsminduktor (rare)",idinduktor
information,zsmmaklumat,"idinformasi, from Dutch nlinformatie, idpenerangan rare"
injection (noun),zsmsuntikan,"idsuntikan, idinjeksi"
ink,zsmdakwat from Arabic,"idtinta from Dutch nltinte, iddawat (archaic)"
installment (payment),zsmansuran,"idangsuran, idcicilan"
instant,zsmsegera (means "soon" in Indonesia),"idseketika, idinstan"
insurance,zsminsurans,idasuransi from Dutch nlassurantie
intelligence (spying),zsmrisikan (means 'secret investigation' in Indonesia),"idintelijen, idtilik sandi"
international,zsmantarabangsa,"idinternasional, idmancanegara from Javanese meaning: foreign land)"
internet café,"zsmkafe internet, zsmkafe cyber",idwarnet a portmanteau for "idwarung internet" (
intervention,"zsmcampur tangan, zsmintervensi","idcampur tangan, idintervensi"
introspection,"zsmkaji diri, zsmintrospeksi (rare)","idintrospeksi, idmawas diri"
invasion,"zsmpenyerangan, zsmpenjajahan (means colonialism in Indonesian), zsminvasi",idinvasi
investment,zsmpelaburan,"idinvestasi, idpenanaman modal"
Iraq,zsmIraq,idIrak
Ireland,zsmIreland,idIrlandia
irrigation,zsmpengairan,"idirigasi, idpengairan"
Italy,zsmItali,idItalia from Italian
=======
dandruff,zsmkelemumur,idketombe
December,zsmDisember,idDesember (influenced by Dutch nldecember)
decimal,zsmperpuluhan (means tithe in Indonesian),"iddesimal (from Dutch nldecimale), idpersepuluhan (rare)"
decree,zsmdekri,"idsurat keputusan, iddekrit (from Dutch nldecreet)"
degree (of temperature),zsmdarjah,idderajat
"delicious, tasty","zsmlazat, zsmsedap, zsmenak","idlezat, idenak, idsedap"
democratic,zsmdemokratik,"iddemokratis (from Dutch nldemokratisch note: "democratic republic" (in country names) translates as idrepublik demokratik, such as in idRepublik Demokratik Kongo (Democratic Republic of the Congo))"
department,zsmjabatan ('occupation' in Indonesian),"iddepartemen, idjurusan (for department in university)"
departure,zsmpelepasan,"idkeberangkatan, idkepergian"
depression (psychological),zsmkemurungan (means "sadness" in Indonesian),iddepresi (from Dutch nldepressie)
deputy,zsmtimbalan,"idwakil, iddeputi, idtimbalan (rare)"
design,zsmreka bentuk,"iddesain, idkerangka bentuk, idrancangan"
detail,zsmterperinci,"iddetail, detil (nonstandard), idperincian, idrinci (nonstandard)"
dialect,zsmloghat,"iddialek, idlogat"
detection,zsmpengesana,"idpelacakan, iddeteksi"
different – difference,"zsmbeza, zsmberbeza – perbezaan","idbeda, idberbeda – perbedaan"
diocese,"zsmkawasan uskup, zsmkeuskupan",idkeuskupan
director,zsmpengarah,"iddirektur from Dutch (and French) nldirecteur, idsutradara (of a film) from Sanskrit (through Javanese), idpengarah (for an event)"
discount,"zsmdiskaun, zsmrebat, zsmpotongan harga","iddiskon, idrabat, idpotongan harga, idkorting from Dutch, less frequent"
discussion,"zsmperbincangan, zsmdiskusi","idpembicaraan, idperbincangan, iddiskusi (from Dutch nldiscussie)"
disinfectant,zsmpenyahjangkit,"iddisinfektan, idsucihama"
domestic,zsmdalam negara,"iddalam negeri, iddomestik"
driver,zsmpemandu means guide in Indonesian,"idsopir from French frchauffeur through Dutch, idpengemudi formal"
driver's license (U.S.) driving licence (UK),zsmlesen memandu,idsurat izin mengemudi (SIM)
drugs (illegal),zsmdadah (colloquial use in Indonesia means "goodbye"),"idnarkoba (an acronym for idNARKotika dan OBat-obatan terlArang (narcotics and illegal drugs)), idNAPZA (less frequent – an acronym for idNArkotika, Psikotropika dan Zat-zat Adiktif (narcotics, psychotropics, and addictive chemical substances))"
Dutch East Indies,zsmHindia Timur Belanda,idHindia-Belanda
duty (economics),"zsmduti, zsmcukai","idbea, idcukai"
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
