Feature,Android,iOS,Tizen,Sailfish OS,Ubuntu Touch
Proxy server,"3.1+[334] but only global, not per connection[335] and only works for the browser[336] 3rd party apps available[337]",,,,
On-device encryption,3+[339] but insecure on Qualcomm devices[340],,,3.3.0+[343],
External storage encryption,6+,External storage not available,,,
Zero knowledge encryption[344],"No, data is accessible by Google[345] and shared with the American PRISM surveillance program.[346]",",?,?,
Privacy of synchronization[348],,When synchronizing locally and not using iCloud,?,?,?
Sync to cloud communication encryption,2.3.4+[350],,?,?,?
Wireless anti-tracking[352],Developer Options (9+)[353],8+[354],,?,
Remote device location tracking,,,?,?,
Remote device locking and/or data wipe,2.2+[357],,?,?,
End-to-end encrypted push notifications,"Possible, notifications are handled by the app that can decrypt it[109]","Possible since iOS 7, where the app can handle the notification and decrypt it[358]",?,?,
SSH Client,,,?,,
VPN,,,?,,
OpenVPN,",,?,,
WPA PEAP,,,?,In developer mode[367],
